id;time_of_message;game_event_id;event_type;team;active;time_of_event_occurence
1;2020-10-26T10:04:37;6118;GOAL;AWAY;true;2020-10-26T10:53:46
2;2020-10-26T12:00:19;70765;YELLOW_CARD;HOME;true;2020-10-26T08:18:29
3;2020-10-27T00:43:31;6534;YELLOW_CARD;AWAY;false;2020-10-26T03:20:15
4;2020-10-26T13:22:01;50762;GOAL;AWAY;true;2020-10-26T05:54:54
5;2020-10-26T16:58:53;50269;YELLOW_CARD;AWAY;false;2020-10-26T22:18:41
6;2020-10-26T08:44:19;22622;YELLOW_CARD;AWAY;true;2020-10-26T19:44:33
7;2020-10-26T04:09:03;21247;CORNER;HOME;true;2020-10-26T21:51:37
8;2020-10-26T17:50:16;9022;YELLOW_CARD;HOME;false;2020-10-26T08:06:31
9;2020-10-26T15:00:29;35164;RED_CARD;AWAY;true;2020-10-26T13:57:02
10;2020-10-26T07:17:06;27184;YELLOW_CARD;HOME;true;2020-10-27T00:33:05
