id;start_date;end_date;language
1;2020-10-24T13:16:03;2020-10-24T11:06:18;SPANISH
2;2020-10-23T18:06:14;2020-10-24T13:10:39;SPANISH
3;2020-10-24T09:01:33;2020-10-23T19:35:42;FRENCH
4;2020-10-24T00:19:04;2020-10-24T11:50:30;FRENCH
5;2020-10-24T09:49:22;2020-10-24T14:36:21;FRENCH
6;2020-10-24T03:41:43;2020-10-24T15:49:57;FRENCH
7;2020-10-24T05:27:03;2020-10-23T23:17:54;FRENCH
8;2020-10-24T04:23:16;2020-10-24T14:39:24;SPANISH
9;2020-10-24T03:04:25;2020-10-23T23:45:48;SPANISH
10;2020-10-24T11:16:29;2020-10-23T21:50:59;SPANISH
