id;time_of_message;opportunity_id;type;handicap;line;sequence;trading_status;actual_trading_time;note;bet_stop;results
1;2020-10-26T05:04:36;45954;high-level;Cedi generating;Fiji Dollar Rustic Steel Tuna;virtual Intelligent Concrete Shoes Bedfordshire;88299;2020-10-26T12:13:27;Sports override;40531;Officer Rustic Keyboard
2;2020-10-26T10:36:24;39312;Assistant Designer;Baby driver indigo;Texas;Prairie quantifying;20376;2020-10-26T17:48:58;Soft Games SAS;69529;cohesive e-commerce Small Plastic Pants
3;2020-10-26T06:51:27;15219;payment;South Dakota Manager;sensor Balanced;1080p Program Virtual;66067;2020-10-26T04:33:42;Fantastic Steel Computer Associate;33248;hard drive
4;2020-10-26T17:47:10;48977;overriding functionalities Ohio;invoice homogeneous;payment Syrian Arab Republic;JSON TCP;619;2020-10-26T06:31:17;Riel SSL;82896;Washington visualize Brunei Dollar
5;2020-10-26T17:55:50;89783;New Hampshire;Officer cyan silver;Frozen Square;Washington throughput;2537;2020-10-26T03:31:45;GB Applications;68214;GB
6;2020-10-26T14:31:00;7043;Concrete bluetooth haptic;Awesome Cook Islands;local;Kids transmit;8229;2020-10-27T02:04:19;interface software;13145;SDD Face to face
7;2020-10-26T19:32:27;6847;national dynamic HDD;Hat;Intelligent;Ergonomic;45495;2020-10-26T03:18:42;eco-centric Personal Loan Account;55665;Rustic Plastic Mouse
8;2020-10-26T10:00:56;13006;Licensed;extensible;Dam;niches;78789;2020-10-26T10:44:54;Home Bond Markets Units European Composite Unit (EURCO) Money Market Account;67556;Principal
9;2020-10-26T13:05:26;38963;Metal Creek Self-enabling;Soft overriding;Music;incremental Shoes;69896;2020-10-26T23:17:08;Cambridgeshire Berkshire client-server;82961;neural
10;2020-10-26T06:55:12;35318;Zimbabwe Dollar Plastic payment;payment Coordinator Sleek Fresh Chair;mobile;Rubber;61284;2020-10-26T21:42:27;Keyboard Buckinghamshire;59449;eco-centric bluetooth Car
