id;name;nick_name;shirt_number;position
1;Massachusetts Investment Account France;Refined;82224;Tools Louisiana strategy
2;Lake Cyprus mobile;bus;50139;cyan
3;Plaza cross-media;scalable;14984;Intelligent Wooden Soap Fish Delaware
4;Louisiana Gorgeous Metal Towels;quantifying SAS user-centric;81245;support
5;silver incubate;Montenegro matrices;92917;Rustic
6;Ergonomic invoice back up;alarm;68953;Rubber intuitive International
7;Garden Pizza 24/365;Corporate Internal exploit;34275;Minnesota Applications Branding
8;partnerships;back up deliverables;96766;port Avon
9;Grocery Czech Republic Keys;Moldovan Leu orchid Djibouti;48888;Hat Licensed Plastic Bacon black
10;Soft Borders Central African Republic;magnetic;80680;hard drive Mouse
