id;name;color;flag
1;Nigeria;maroon;Analyst
2;Nevada focus group;silver;Global Concrete
3;heuristic;white;Borders
4;asymmetric Money Market Account;lavender;portals Money Market Account
5;action-items Awesome Rubber Table Home;salmon;Officer Ghana Colombian Peso Unidad de Valor Real
6;Rustic;salmon;Lesotho parsing
7;solid state Small Wooden Bike;orange;best-of-breed Architect invoice
8;Function-based Handmade Wooden Salad;purple;Ergonomic Wooden Pants Integration Steel
9;Sleek;mint green;Designer
10;orange Global Buckinghamshire;lavender;turquoise Tasty Metal Cheese International
